Shot Number,Start Timecode,End Timecode,Start Time (seconds),End Time (seconds)
1,00:00:00.000,00:00:08.160,0.00,8.16
2,00:00:08.160,00:00:09.920,8.16,9.92
3,,,9.92,11
4,00:00:09.920,00:00:14.040,11,14.04
5,00:00:14.040,00:00:15.160,14.04,15.16
6,00:00:15.160,00:00:18.520,15.16,18.52
7,00:00:18.520,00:00:20.120,18.52,20.12
8,00:00:20.120,00:00:21.520,20.12,21.52
9,00:00:21.520,00:00:23.080,21.52,23.08
10,00:00:23.080,00:00:24.240,23.08,24.24
11,00:00:24.240,00:00:27.560,24.24,27.56
12,00:00:27.560,00:00:29.200,27.56,29.20
13,00:00:29.200,00:00:31.440,29.20,31.44
14,00:00:31.440,00:00:36.280,31.44,36.28
15,00:00:36.280,00:00:39.880,36.28,38
16,,,38,39.88
17,00:00:39.880,00:00:41.920,39.88,41.92
18,00:00:41.920,00:00:44.000,41.92,44.00
19,00:00:44.000,00:00:47.280,44.00,47.28