Shot Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,1157,00:00:48.257,48.257,1157,00:00:48.257,48.257
2,1158,00:00:48.257,48.257,1322,00:00:55.138,55.138,165,00:00:06.882,6.882
3,1323,00:00:55.138,55.138,1493,00:01:02.271,81.164,171,00:00:07.132,7.132
4,1947,00:01:21.164,81.164,2209,00:01:32.134,92.134,263,00:00:10.969,10.969
5,2210,00:01:32.134,92.134,2296,00:01:35.762,95.762,87,00:00:03.629,3.629
6,2297,00:01:35.762,95.762,2442,00:01:41.852,101.852,146,00:00:06.089,6.089
7,2443,00:01:41.852,101.852,2774,00:01:55.699,106,332,00:00:13.847,13.847
8,2443,00:01:41.852,106,2774,00:01:55.699,115.699,332,00:00:13.847,13.847
9,2775,00:01:55.699,115.699,3100,00:02:09.296,136.636,326,00:00:13.597,13.597
10,3277,00:02:16.636,136.636,3404,00:02:21.975,141.975,128,00:00:05.339,5.339